,store,changepoint_prior_scale,seasonality_mode,seasonality_prior_scale,rmse
12,10,0.01,multiplicative,0.01,703.8148745527216
13,10,0.01,multiplicative,0.1,738.9467159607027
14,10,0.01,multiplicative,1.0,739.4365048344246
15,10,0.01,multiplicative,10.0,738.8516988456323
16,10,0.1,additive,0.01,727.5961186728628
17,10,0.1,additive,0.1,738.9846202694292
18,10,0.1,additive,1.0,739.5613432892394
19,10,0.1,additive,10.0,739.3623116174346
20,10,0.1,multiplicative,0.01,710.6785171702485
21,10,0.1,multiplicative,0.1,746.982745546217
22,10,0.1,multiplicative,1.0,748.2955151150084
23,10,0.1,multiplicative,10.0,747.7398606011571
24,10,0.5,additive,0.01,704.5154956603803
25,10,0.5,additive,0.1,713.4425715795584
26,10,0.5,additive,1.0,711.6099501259495
27,10,0.5,additive,10.0,712.6676710483198
28,10,0.5,multiplicative,0.01,695.8456839133294
29,10,0.5,multiplicative,0.1,723.5786427380636
30,10,0.5,multiplicative,1.0,723.9255887593511
31,10,0.5,multiplicative,10.0,742.8266183853771
0,11,0.001,additive,0.01,1296.9065212203589
1,11,0.001,additive,0.1,1306.1388666465516
2,11,0.001,additive,1.0,1305.5327690480647
3,11,0.001,additive,10.0,1307.8830960867317
4,11,0.001,multiplicative,0.01,1777.6047637509528
5,11,0.001,multiplicative,0.1,1444.583778152138
6,11,0.001,multiplicative,1.0,1478.100265523246
7,11,0.001,multiplicative,10.0,1482.9092192799183
8,11,0.01,additive,0.01,1281.2796803354481
9,11,0.01,additive,0.1,1297.4195500192538
10,11,0.01,additive,1.0,1297.1822538192175
11,11,0.01,additive,10.0,1299.116594377525
12,11,0.01,multiplicative,0.01,1326.3779237000203
13,11,0.01,multiplicative,0.1,1284.1262671598463
14,11,0.01,multiplicative,1.0,1282.4311356473834
15,11,0.01,multiplicative,10.0,1283.6712106678215
16,11,0.1,additive,0.01,1278.9474065405113
17,11,0.1,additive,0.1,1289.3634787455055
18,11,0.1,additive,1.0,1289.7006815226277
19,11,0.1,additive,10.0,1290.3041675728034
20,11,0.1,multiplicative,0.01,1454.2116610148232
21,11,0.1,multiplicative,0.1,1296.4513396594566
22,11,0.1,multiplicative,1.0,1298.3232687030827
23,11,0.1,multiplicative,10.0,1298.7035135938554
24,11,0.5,additive,0.01,1321.2114437851135
25,11,0.5,additive,0.1,1296.5761511161395
26,11,0.5,additive,1.0,1296.724880232322
27,11,0.5,additive,10.0,1296.4886920721876
28,11,0.5,multiplicative,0.01,1553.0708102173771
29,11,0.5,multiplicative,0.1,1291.3248188651462
30,11,0.5,multiplicative,1.0,1299.5945719957701
31,11,0.5,multiplicative,10.0,1299.4051978694733
0,12,0.001,additive,0.01,1310.8357400297582
1,12,0.001,additive,0.1,1355.7210665587393
2,12,0.001,additive,1.0,1321.7806837025792
3,12,0.001,additive,10.0,1332.4202031640243
4,12,0.001,multiplicative,0.01,1478.188253752259
5,12,0.001,multiplicative,0.1,1454.2629560110722
6,12,0.001,multiplicative,1.0,1440.9067491182734
7,12,0.001,multiplicative,10.0,1458.5492221974657
8,12,0.01,additive,0.01,1360.0611443758296
9,12,0.01,additive,0.1,1363.374701672895
10,12,0.01,additive,1.0,1363.3993372519055
11,12,0.01,additive,10.0,1365.744999093134
12,12,0.01,multiplicative,0.01,1356.2201046774003
13,12,0.01,multiplicative,0.1,1367.6209829007323
14,12,0.01,multiplicative,1.0,1359.323717409573
15,12,0.01,multiplicative,10.0,1359.6261619440897
16,12,0.1,additive,0.01,1359.3718987621257
17,12,0.1,additive,0.1,1369.2773338426152
18,12,0.1,additive,1.0,1369.85754083711
19,12,0.1,additive,10.0,1369.8759078250225
20,12,0.1,multiplicative,0.01,1318.0437724729672
21,12,0.1,multiplicative,0.1,1355.0462052543367
22,12,0.1,multiplicative,1.0,1358.4731635258734
23,12,0.1,multiplicative,10.0,1358.6645854013875
24,12,0.5,additive,0.01,1313.0920932076644
25,12,0.5,additive,0.1,1357.8401848895912
26,12,0.5,additive,1.0,1356.6222031070042
27,12,0.5,additive,10.0,1356.8963961881964
28,12,0.5,multiplicative,0.01,1303.7718305789065
29,12,0.5,multiplicative,0.1,1287.8269704351364
30,12,0.5,multiplicative,1.0,1285.5910876841438
31,12,0.5,multiplicative,10.0,1317.130519096824
0,13,0.001,additive,0.01,1099.0310204620746
1,13,0.001,additive,0.1,1142.068034528602
2,13,0.001,additive,1.0,1151.906382670875
3,13,0.001,additive,10.0,1106.1739721380757
4,13,0.001,multiplicative,0.01,1733.4180998067168
5,13,0.001,multiplicative,0.1,1413.3419266722162
6,13,0.001,multiplicative,1.0,1480.9457223337404
7,13,0.001,multiplicative,10.0,1734.9246356375588
8,13,0.01,additive,0.01,1101.1456954849637
9,13,0.01,additive,0.1,1106.5589175815148
10,13,0.01,additive,1.0,1109.7370172725177
11,13,0.01,additive,10.0,1104.361424848989
12,13,0.01,multiplicative,0.01,1119.8162825228549
13,13,0.01,multiplicative,0.1,1129.7796628945566
14,13,0.01,multiplicative,1.0,1123.689476870326
15,13,0.01,multiplicative,10.0,1124.7872640044154
16,13,0.1,additive,0.01,1134.7378860143654
17,13,0.1,additive,0.1,1135.897815585191
18,13,0.1,additive,1.0,1136.8450701489865
19,13,0.1,additive,10.0,1136.3750459421287
20,13,0.1,multiplicative,0.01,1195.0364435384952
21,13,0.1,multiplicative,0.1,1183.3145984810765
22,13,0.1,multiplicative,1.0,1185.3620765624687
23,13,0.1,multiplicative,10.0,1185.359000139902
24,13,0.5,additive,0.01,1135.9254851767153
25,13,0.5,additive,0.1,1145.6935204009405
26,13,0.5,additive,1.0,1146.1879987145587
27,13,0.5,additive,10.0,1146.4505315927925
28,13,0.5,multiplicative,0.01,1191.4602739839627
29,13,0.5,multiplicative,0.1,1190.5595948823623
30,13,0.5,multiplicative,1.0,1195.3934124021666
31,13,0.5,multiplicative,10.0,1198.8696110554952
0,14,0.001,additive,0.01,717.7848837237278
1,14,0.001,additive,0.1,730.0217578138548
2,14,0.001,additive,1.0,737.3262313567293
3,14,0.001,additive,10.0,725.9684789602328
4,14,0.001,multiplicative,0.01,713.7624067865929
5,14,0.001,multiplicative,0.1,722.9847631672616
6,14,0.001,multiplicative,1.0,708.821684815626
7,14,0.001,multiplicative,10.0,708.8691418168303
8,14,0.01,additive,0.01,706.2814148325672
9,14,0.01,additive,0.1,706.4828694820693
10,14,0.01,additive,1.0,706.7344527594612
11,14,0.01,additive,10.0,707.0972360688871
12,14,0.01,multiplicative,0.01,741.560129362225
13,14,0.01,multiplicative,0.1,698.7780182913551
14,14,0.01,multiplicative,1.0,700.5105698911701
15,14,0.01,multiplicative,10.0,700.3582788155009
16,14,0.1,additive,0.01,710.8361727026421
17,14,0.1,additive,0.1,715.9114007133336
18,14,0.1,additive,1.0,715.7033635762899
19,14,0.1,additive,10.0,715.8269960641605
20,14,0.1,multiplicative,0.01,757.624024485579
21,14,0.1,multiplicative,0.1,719.185942954229
22,14,0.1,multiplicative,1.0,720.7452605707896
23,14,0.1,multiplicative,10.0,720.2083928477
24,14,0.5,additive,0.01,730.3316915758462
25,14,0.5,additive,0.1,734.0233946151069
26,14,0.5,additive,1.0,733.2483804158115
27,14,0.5,additive,10.0,733.8835887153433
28,14,0.5,multiplicative,0.01,773.2756986455503
29,14,0.5,multiplicative,0.1,736.5751375347743
30,14,0.5,multiplicative,1.0,737.3176668909481
31,14,0.5,multiplicative,10.0,737.8171533545615
